bom_id,tier,procurement_class,budget_bucket,category,manufacturer,manufacturer_part_number,item,quantity,unit_price,currency,extended_price,price_status,price_basis_date,supplier,supplier_url,manufacturer_or_datasheet_url,key_specification,use,limitation
MVP-011,MVP,required_purchase,MVP_priced_core,storage,Adafruit,PID 254,microSD SPI breakout,1,7.50,USD,7.50,live_supplier_price,2026-07-30,Adafruit,https://www.adafruit.com/product/254,https://learn.adafruit.com/adafruit-micro-sd-breakout-board-card-tutorial,3 V/5 V compatible SPI,Local raw sensor logging,Card not included
MVP-012,MVP,consumable,MVP_allowances,storage,Vendor qualified at purchase,TBD,High-endurance microSD card 16-32 GB,1,15.00,USD,15.00,planning_allowance,2026-07-30,TBD,TBD,TBD,High-endurance genuine media with documented lot,Data storage,Verify authenticity and endurance rating before purchase
MVP-013,MVP,required_purchase,MVP_priced_core,power,Mean Well,GST60A12-P1J,12 V 5 A 60 W desktop supply,1,18.60,USD,18.60,live_distributor_price,2026-07-30,DigiKey,https://www.digikey.com/en/products/detail/mean-well-usa-inc/GST60A12-P1J/7703712,https://www.meanwell-web.com/content/files/pdfs/productPdfs/MW/GST60A/GST60A-spec.pdf,90-264 VAC input; 12 V 5 A; IEC C14; 5.5/2.1 mm output,Low-voltage system supply,IEC input cord and downstream fuse/switch required
MVP-014,MVP,required_purchase,MVP_priced_core,power,SparkFun,AP63357 / COM-21255,5 V buck regulator breakout,1,7.70,USD,7.70,live_supplier_price,2026-07-30,SparkFun,https://www.sparkfun.com/sparkfun-buck-regulator-breakout-5v-ap63357.html,https://www.sparkfun.com/sparkfun-buck-regulator-breakout-5v-ap63357.html,3.8-32 V input; fixed 5 V; up to 3.5 A,5 V rail for digital sensors/fan,Respect thermal/current derating
MVP-015,MVP,required_purchase,MVP_priced_core,chamber,Integra,H12106HCF-6P-P10,Clear polycarbonate enclosure,1,150.00,USD,150.00,live_authorized_catalog_price,2026-07-30,AutomationDirect,https://www.automationdirect.com/adc/shopping/catalog/enclosures_-z-_subpanels_-z-_thermal_management_-z-_lighting/enclosures/polycarbonate_enclosures/h12106hcf-6p,https://cdn.automationdirect.com/static/catalog/images/product-pdf/ENI-Integra-Enclosures.pdf,Approximately 12.54 x 10.54 x 6.71 in; clear cover; NEMA 6P/IP68 before modification,Prototype headspace chamber,Polycarbonate/gasket/ports can outgas or adsorb VOCs; blank and recovery tests mandatory
MVP-016,MVP,required_purchase,MVP_allowances,air_mixing,Noctua,NF-A4x10 5V,40 mm 5 V mixing fan,1,14.95,USD,14.95,planning_allowance_verify_reseller,2026-07-30,Noctua reseller,https://www.noctua.at/en/products/nf-a4x10-5v,https://www.noctua.at/en/products/nf-a4x10-5v/specifications,40 x 40 x 10 mm; up to 4500 rpm; 8.2 cubic metres/hour; 17.9 dBA,Reproducible chamber mixing,Adds heat and affects mass transfer; fixed duty cycle and off during weighing
MVP-017,MVP,required_purchase,MVP_priced_core,optics,Vishay,BPW34,Silicon PIN photodiode,1,1.37,USD,1.37,live_distributor_price,2026-07-30,DigiKey,https://www.digikey.com/en/products/detail/vishay-semiconductor-opto-division/BPW34/1681149,https://www.digikey.com/htmldatasheets/production/1279013/0/0/1/bpw34.pdf,430-1100 nm; approximately 900 nm peak; 7.5 square mm active area,Detect 660/740/850/970 nm reflected light,Cannot detect 1200/1450/1700 nm bands
MVP-018,MVP,required_purchase,MVP_allowances,optics,Roithner Lasertechnik,LED660N-03 + LED740-03AU + LED850-03UP + LED970D-03,Four-wavelength LED set,1,50.00,USD,50.00,planning_allowance_current_price_list_requires_quote,2026-07-30,Roithner Lasertechnik,https://www.roithner-laser.com/pricelist.pdf,https://www.roithner-laser.com/pricelist.pdf,Nominal peaks 660/740/850/970 nm with part-specific output/current,Sequential pigment scattering and weak water-sensitive channels,Verify bin spectrum radiant output and drive current on quotation
MVP-019,MVP,consumable,MVP_allowances,analogue_electronics,Qualified electronics distributors,TBD,TIA op-amp resistors capacitors LED drivers MOSFETs PCB and connectors,1,40.00,USD,40.00,planning_allowance,2026-07-30,TBD,TBD,TBD,Low-bias TIA plus current-limited LED drivers,Photodiode signal conditioning and switching,Final values require optical prototype testing
MVP-020,MVP,consumable,MVP_allowances,plumbing,Qualified laboratory supplier,TBD,PTFE tubing bulkheads fittings and valves starter set,1,50.00,USD,50.00,planning_allowance,2026-07-30,TBD,TBD,TBD,Size to chamber ports and selected sensors,Leak-tested chamber connections,Material suitability must be verified; avoid silicone for quantitative volatile work
MVP-021,MVP,consumable,MVP_allowances,mechanical,Local fabrication,TBD,Cradle baffles matte optical liner fasteners and wiring,1,75.00,USD,75.00,planning_allowance,2026-07-30,Local fabrication,TBD,TBD,Indexed fruit fixture and light isolation,Repeatable geometry,Paint/adhesive/printed polymers require curing and blank testing
MVP-022,MVP,consumable,MVP_allowances,calibration,ISO-17025 supplier preferred,TBD,Mass check-weight set suitable for 0-2 kg,1,30.00,USD,30.00,planning_allowance,2026-07-30,TBD,TBD,TBD,At least zero plus multiple traceable points,Load-cell QC,Certificate/accuracy class not specified until vendor selection
MVP-023,MVP,consumable,MVP_allowances,camera,Raspberry Pi,TBD,Pi Zero Camera Module 3 adapter cable and mounting hardware,1,5.00,USD,5.00,planning_allowance,2026-07-30,Raspberry Pi approved reseller,https://www.raspberrypi.com/products/camera-cable/,https://www.raspberrypi.com/documentation/accessories/camera.html,Correct Zero-series CSI cable,Camera connection and fixed mount,Confirm connector version before ordering
OPT-001,MVP,optional_advanced,excluded_optional,optics,ams OSRAM,AS7341 / Adafruit 4698,11-channel visible spectral-colour breakout,1,18.95,USD,18.95,out_of_stock_supplier_price,2026-07-30,Adafruit,https://www.adafruit.com/product/4698,https://ams-osram.com/products/sensor-solutions/ambient-light-color-spectral-proximity-sensors/ams-as7341-11-channel-spectral-color-sensor,8 visible bands 415-680 nm plus broad NIR around 910 nm and clear/flicker,Low-cost pigment/surface feature sensor,Not a continuous spectrum and not quantitative water/oil NIR
OPT-002,MVP,optional_advanced,excluded_optional,air_sampling,SparkFun,TBD,12 V vacuum pump,1,25.50,USD,25.50,live_supplier_price,2026-07-30,SparkFun,https://www.sparkfun.com/vacuum-pump-12v.html,https://www.sparkfun.com/vacuum-pump-12v.html,Small 12 V diaphragm pump,Flush or low-cost sampling loop,Wetted materials are not specified for quantitative VOC/ethylene recovery
OPT-003,MVP,optional_bridge,excluded_optional,ethylene,SPEC Sensors,970-650,DGS2-C2H4 electrochemical ethylene module,1,120.00,USD,120.00,live_distributor_price,2026-07-30,DigiKey,https://www.digikey.com/en/products/detail/spec-sensors-a-division-of-interlink-electronics/970-650/25269602,https://www.spec-sensors.com/wp-content/uploads/2024/06/DGS2-970-Series-Datasheet-24a.pdf,Distributor range 0-40 ppm; UART; cross-sensitive electrochemical channel,Exploratory ethylene trend after reference validation,Published cross-response includes ethanol H2S SO2 NO and formaldehyde; not reference ethylene
MID-001,Mid-tier,optional_advanced,excluded_optional,spectrometer,Hamamatsu,C11708MA,Mini-spectrometer,1,650.53,EUR,650.53,live_authorized_distributor_price_ex_VAT,2026-07-30,RS Components Portugal,https://pt.rs-online.com/web/p/kits-de-desarrollo-de-sensores/2616229,https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/ssd/c10988ma-01_etc_kacc1169e.pdf,640-1050 nm; 256 pixels; typical 15 nm FWHM; 5 V,Compact spectral proof of concept,Requires optics buffer timing ADC and calibration; misses strong SWIR water/oil bands
MID-002,Mid-tier,optional_advanced,excluded_optional,spectrometer,Hamamatsu,C14384MA-01,High-sensitivity mini-spectrometer,1,,,0,quote_only,2026-07-30,Hamamatsu sales,https://www.hamamatsu.com/eu/en/news/featured-products_and_technologies/2018/20181023000000.html,https://www.hamamatsu.com/eu/en/news/featured-products_and_technologies/2018/20181023000000.html,640-1050 nm; 256 pixels; approximately 0.3 g; higher 1000 nm sensitivity than C11708MA,Compact upgrade,No verified current distributor price; still misses SWIR bands
RG-001,Research,lab_owned_shared,buy_new_proxy,spectrometer,Ocean Insight,NIRQUEST+1.7-XX,NIRQuest+1.7 spectrometer configured by quote,1,19979.00,USD,19979.00,historical_2023_contract_proxy_not_current_quote,2026-07-30,Ocean Insight RFQ,https://www.oceanoptics.com/spectrometer/nirquest1-7/,https://www.oceanoptics.com/wp-content/uploads/2025/04/Ocean_NIRQuestPlus_Product_Sheet.pdf,900-1650 nm; cooled InGaAs; 512 pixels; slit-dependent resolution,Research moisture/dry-matter spectroscopy,Proxy included software/shipping in a 2023 federal purchase and is not procurement-ready; obtain current quote; misses 1720/2300 nm oil bands
RG-002,Research,optional_advanced,excluded_quote_only,spectrometer,Ocean Insight,NIRQuest+2.5,NIRQuest+2.5 extended-range spectrometer,1,,,0,quote_only,2026-07-30,Ocean Insight RFQ,https://www.oceanoptics.com/,https://www.oceanoptics.com/,900-2500 nm class configuration,Observe 1720 and 2300 nm lipid-related bands,Current configuration/price must be quoted; detector cost and noise are substantially higher
RG-003,Research,required_purchase,shared_research_budget,optics,Marktech,MTPD1346D-100,1 mm InGaAs photodiode,3,16.63,USD,49.89,live_distributor_price,2026-07-30,DigiKey,https://www.digikey.com/en/products/detail/marktech-optoelectronics/MTPD1346D-100/5866635,https://www.mouser.com/datasheet/2/1094/MTPD1346D_100-1900758.pdf,800-1750 nm; 1 mm active area; TO-46,Discrete 1200/1450 nm research channels,Needs low-noise TIA dark/temperature correction and cannot replace spectroscopy
RG-004,Research,required_purchase,shared_research_budget,optics,Roithner Lasertechnik,LED1200S-03 + LED1450S-03,SWIR LED pair,1,60.00,USD,60.00,planning_allowance_current_price_list_requires_quote,2026-07-30,Roithner Lasertechnik,https://www.roithner-laser.com/pricelist.pdf,https://www.roithner-laser.com/pricelist.pdf,Nominal 1200 and 1450 nm emitters,Discrete lipid/water-sensitive feasibility channels,1450 nm is strongly absorbed and surface-weighted; verify irradiance/spectrum by bin
RG-005,Research,required_purchase,shared_research_budget,plumbing,Cole-Parmer,UX-50119-48,PTFE tubing 1/8 in ID x 1/4 in OD 50 ft,1,367.50,USD,367.50,live_supplier_price,2026-07-30,Cole-Parmer,https://www.coleparmer.com/i/cole-parmer-ptfe-tubing-1-8-id-x-1-4-od-50-ft/5011948,https://www.coleparmer.com/i/cole-parmer-ptfe-tubing-1-8-id-x-1-4-od-50-ft/5011948,PTFE; stated -201 to 260 degrees C,Low-adsorption gas path and replaceable lines,Still requires recovery/blank testing and compatible compression fittings
RG-006,Research,required_purchase,shared_research_budget,chamber,Custom laboratory fabrication,TBD,Borosilicate or stainless headspace vessel with PTFE-faced seals,1,1000.00,USD,1000.00,planning_allowance_RFI_required,2026-07-30,University workshop or vessel vendor,TBD,TBD,Known free volume; serviceable ports; inert wetted surfaces,Analytical headspace chamber,Pressure rating cleaning method and leak acceptance must be engineered
RG-007,Research,required_purchase,shared_research_budget,flow,Qualified laboratory supplier,TBD,Flow meter valves filters and low-dead-volume fittings,1,250.00,USD,250.00,planning_allowance,2026-07-30,TBD,TBD,TBD,Range selected after analyser/pump flow specification,Controlled gas sampling and calibration,Final MPN depends on flow and tubing configuration
RG-008,Research,required_purchase,shared_research_budget,optics,Ocean Insight or equivalent,TBD,Stabilised tungsten-halogen source fibres and interactance/reflectance probe,1,2300.00,USD,2300.00,planning_allowance_RFI_required,2026-07-30,Optical instrument vendor,TBD,TBD,Configuration compatible with selected spectrometer and repeatable probe fixture,Research spectral illumination and collection,Must be quoted as a matched optical system
RG-009,Research,required_purchase,shared_research_budget,optics,Ocean Insight or Labsphere,TBD,Certified diffuse reflectance standard,1,700.00,USD,700.00,planning_allowance_RFI_required,2026-07-30,Optical instrument vendor,TBD,TBD,Calibrated reflectance certificate over instrument band,White-reference calibration,ColorChecker or printer paper is not an NIR radiometric standard
RG-010,Research,required_purchase,shared_research_budget,ground_truth,ATAGO,PAL-1 / Cat. No. 3810,Digital handheld refractometer,1,330.00,USD,330.00,live_manufacturer_direct_price,2026-07-30,ATAGO Direct,https://atago.net/en/atagodirect-index.php?key=ABS42888,https://atago-usa.com/PAL-1-p176.html,Brix 0.0-53.0%; 0.1% resolution; stated ±0.2%,Soluble-solids concentration on destructive subsample,Brix is concentration and matrix-dependent; pair with moisture/starch assays
RG-011,Research,required_purchase,shared_research_budget,ground_truth,QA Supplies,FT327 / SKU 2006060,Handheld fruit penetrometer,1,285.00,USD,285.00,live_supplier_price,2026-07-30,QA Supplies,https://qasupplies.com/ft327-penetrometer/,https://qasupplies.com/ft327-penetrometer/,Fruit firmness tester marketed for avocado and other fruit,Destructive standardised firmness,Freshly harvested avocado may exceed range; supplier recommends considering FT444; protocol dominates repeatability
RG-012,Research,consumable,shared_research_budget,ground_truth,Qualified laboratory suppliers,TBD,Assay pans filters solvents reagents standards and sample containers,1,500.00,USD,500.00,planning_allowance,2026-07-30,TBD,TBD,TBD,Study-specific consumables,Moisture dry matter starch oil and calibration work,Oil extraction solvents require institutional safety and waste procedures
RG-013,Research,required_purchase,shared_research_budget,air_sampling,SparkFun,TBD,12 V vacuum pump for non-reference flushing,1,25.50,USD,25.50,live_supplier_price,2026-07-30,SparkFun,https://www.sparkfun.com/vacuum-pump-12v.html,https://www.sparkfun.com/vacuum-pump-12v.html,Small diaphragm pump,Prototype flushing only,Do not put in quantitative volatile reference path without material/recovery validation
LAB-001,Research,lab_owned_shared,buy_new_proxy,ethylene,Felix Instruments,F-900,F-900 portable ethylene analyser,1,10495.00,USD,10495.00,live_authorized_supplier_price,2026-07-30,QA Supplies,https://qasupplies.com/f-900-portable-ethylene-analyzer/,https://felixinstruments.com/food-science-instruments/gas-analysis/food-science-instruments-handheld-ethylene-co2-o2-analysis-f-900-portable-ethylene-analyzer/support/,PPB sensor 0-10 ppm; 0.001 ppm resolution; stated LOD 0.025 ppm,Reference ethylene validation and selected experiments,Use correct scrubber/interference protocol and calibration; prefer shared instrument
LAB-002,Research,lab_owned_shared,buy_new_proxy,ground_truth,OHAUS,MB120 AM / material 30241165,MB120 moisture analyser,1,6400.50,USD,6400.50,current_2026_authorized_MAP,2026-07-30,Clarkson Laboratory and Supply,https://store.clarksonlab.com/Vendors/vOha.pdf,https://us.ohaus.com/products/balances-scales/moisture-analyzers/mb120,120 g capacity; 0.001 g readability; programmable drying,Moisture/dry-matter ground truth,Method must be validated against the chosen reference oven protocol; prefer existing laboratory unit
LAB-003,Research,lab_owned_shared,excluded_quote_only,air_sampling,KNF,NMP 830,Oil-free diaphragm gas pump,1,,,0,quote_only,2026-07-30,KNF RFQ,https://knf.com/en/uk/solutions/pumps/series/diaphragm-gas-pump-nmp-830,https://knf.com/en/uk/solutions/pumps/series/diaphragm-gas-pump-nmp-830,Up to 3.1 L/min depending configuration; PTFE-coated diaphragm option,Controlled research gas loop,Exact head materials motor voltage and price require quotation
